seed,table_row,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,622,1.26030004,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0962950066,42.1200027,4916.7002,0,0,4.61724186,1.66309893,2.26603055,0.114685349
11001,623,1.62830019,3.90799999,6.57250023,8,3.56800008,58.7200012,69.6600037,0.0157480016,0.0947750062,0.0867950097,42.1200027,4916.7002,0,0,4.4464283,1.92741823,2.16476536,0.0590408258
11001,626,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-20.9999962,4426.7002,-6,-6,4.43464184,1.27957034,2.40570402,0.124894626
11001,631,1.32470012,3.80800009,6.4749999,8,3.40800023,58.7200012,69.6600037,0.0157480016,0.0947750062,0.0962950066,42.1200027,4916.7002,0,0,4.23885059,1.67990136,2.33329821,0.0376085043
11001,633,0.496699989,3.90799999,6.53000021,8,2.67200017,73.4400024,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,0,0,4.76973534,2.05703235,2.47726297,0.0392400138
11001,634,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,636,1.26030004,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.87512159,1.08993161,2.39027262,0.0658195615
11001,637,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,24.1200027,4745.2002,5,-6,5.10974693,1.03772247,2.57668233,0.249223754
11001,640,1.07169998,4.04800034,6.24749994,8,0.252000004,-14.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,5,-6,4.37198544,1.02159214,2.36101246,0.164896756
11001,642,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,649,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,657,1.26030004,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0918300077,0.0878400058,-20.9999962,4426.7002,5,-6,5.305439,1.4444716,2.87624454,0.16412051
11001,658,1.62830019,3.90799999,6.57250023,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-45,4745.2002,5,-6,4.93661118,1.32921493,2.4012177,0.201029763
11001,662,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,-5,-6,3.44697618,1.02862787,2.36955357,0.00813245121
11001,666,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.96334457,1.0909462,2.39886713,0.0789218619
11001,667,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,27,4426.7002,5,-6,5.35964584,1.34155083,3.16479826,0.142216116
11001,670,1.26030004,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0867950097,42.1200027,4916.7002,0,0,4.49184942,1.88590205,2.23943615,0.0610852204
11001,671,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,35.4000015,4745.2002,5,-5,4.40872765,1.25078321,2.47867393,0.113211744
11001,675,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-45,2594.1001,0,0,4.12506104,1.69348395,2.27492738,0.0261083096
11001,677,1.32470012,3.80800009,6.47000027,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,-5,-6,3.43095779,1.031443,2.36967659,0.00497300876
11001,678,1.32470012,3.80800009,6.49499989,8,3.38400006,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,35.4000015,4745.2002,5,-5,4.58801842,1.24348736,2.49619865,0.141388685
11001,682,1.32470012,3.80800009,6.47000027,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,-5,-6,3.43095779,1.031443,2.36967659,0.00497300876
22003,165,0.29430002,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.75020409,1.7913326,2.20905948,0.12496873
