seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,1,0.331582546,2.5861032,7.4426899,8,1.08317149,40.4688721,-28.3427734,0.0284552053,0.0556651689,0.081504032,-29.151041,2132.72607,0,0,175.428314,90.2957611,5.33251524,13.3000069
11001,1,1.19428658,3.74085617,5.86559486,8,3.24554396,74.9628601,26.3791809,0.00734275021,0.0531441905,0.0614088699,45.928627,3812.97583,0,0,53.3496323,2.61503816,2.6063118,8.02138042
11001,1,0.229109734,3.53501463,5.92532587,8,2.07040524,17.3530197,19.4213791,0.0129230171,0.0200394914,0.0396638438,31.314888,964.947998,0,0,239.64917,1.72598553,2.12792754,39.2992096
11001,1,1.40441382,2.7915802,5.62658978,8,1.02277446,76.153244,11.3032608,0.0237467848,0.0429857112,0.0887734964,6.10041809,400.189423,0,0,109.706642,1.65041602,2.8137722,17.5404091
11001,1,0.802576959,5.20836449,7.36932755,8,1.12135243,-52.2374725,88.1955109,0.00524086226,0.0825353339,0.0867976099,42.1476135,4528.3667,0,0,49.2903824,1.77357137,2.08791661,7.57148266
11001,1,1.03779292,4.84995461,6.24775934,8,0.275340676,74.7239075,69.7832184,0.0157699175,0.0947828293,0.0944520161,-36.5632057,4749.33252,0,0,37.2152901,1.56357694,2.84043336,5.46854687
11001,1,0.546713173,4.83983135,6.06033993,8,0.741066098,-15.2234573,-74.2022324,0.0202096403,0.0287937447,0.0515084565,-2.04993439,4070.15625,0,0,173.194061,1.71867144,2.10370779,28.2286129
11001,1,1.43402267,5.29843521,7.54944801,8,1.74266386,-39.5059509,-28.3194351,0.0292240493,0.0443822369,0.0879193693,-20.9552078,4429.20898,0,0,31.0834064,2.67870617,2.67633653,4.28806067
11001,1,1.60904205,5.40208149,6.48827267,8,2.54703569,-42.4723282,-20.1625214,0.019378636,0.0556178726,0.0928740427,-41.9348602,705.017456,0,0,365.715637,1.78587961,2.14586449,60.2973099
11001,1,1.60306633,5.74963045,6.89771366,8,2.47051454,72.2210083,-46.0737,0.0190651808,0.0263441987,0.0522201546,-21.2341156,1365.75354,0,0,281.672302,1.74192953,2.17088461,46.2932434
11001,1,1.5961206,5.4985199,7.4584589,8,2.82779312,-64.1500244,46.0779419,0.0232773181,0.0574572124,0.0330446176,-1.64237213,1449.54858,0,0,77.6352997,1.79659152,3.33856773,12.0833569
11001,1,1.28769803,5.96423912,6.27519703,8,2.19666171,61.6729126,67.4517059,0.0285869017,0.0958955958,0.0775219053,-8.79998779,2744.70972,0,0,57.8583679,1.30190277,2.66716671,8.98154926
11001,1,2.07707405,5.83344173,7.59109783,8,1.06733847,37.6294327,26.6995468,0.017927967,0.0340532474,0.0616334416,26.5765686,664.808777,0,0,3725.68457,1.78616226,2.92933893,620.161499
11001,1,0.615166128,3.65018272,5.66374159,8,2.69818306,-60.8565445,-32.5817146,0.015196654,0.0162153039,0.036945954,-42.9957581,2770.34351,5,-6,93.5658569,1.56785643,2.67906952,14.8864889
11001,1,0.977483869,3.8679378,7.45212078,8,3.42582631,-54.8953171,-52.8059731,0.0180768427,0.0519240424,0.0278104395,15.4375763,3784.4436,0,0,18.6131458,8.76329041,4.27174234,0.929685593
11001,1,1.03252411,3.32190228,7.34396505,8,2.10817504,-20.1803932,72.0108032,0.0162423942,0.0558128208,0.0655440465,-53.3435936,1790.57349,0,0,32.8444824,23.6165447,3.70949841,0.919739664
11001,1,1.43280005,5.29600048,7.54750013,8,1.74000013,-39.5199966,-28.4399986,0.0292160027,0.0443300009,0.0878400058,-20.9999962,4034.7002,0,0,31.415411,3.00284004,2.51080704,4.31696081
